timestamp_s,uam_id,bs_id,distance_m,received_power_dbm_full_carrier,rsrp_dbm_per_re,is_serving
1409.0,UAM01,BS11,19307.140907736142,-90.26519534247292,-115.03640788966955,False
1409.0,UAM01,BS12,18251.015057068144,-89.72771460132446,-114.49892714852109,False
1409.0,UAM01,BS13,9342.021886705224,-83.32909945613913,-108.10031200333576,False
1409.0,UAM01,BS14,9064.904759990633,-83.04139148904666,-107.81260403624329,False
1409.0,UAM01,BS15,5674.296483761012,-78.56546461636634,-103.33667716356297,False
1409.0,UAM01,BS16,2681.165278239365,-71.40251899051222,-96.17373153770885,True
1409.0,UAM01,BS17,8142.090149279981,-82.01559003151536,-106.78680257871198,False
1409.0,UAM01,BS18,8582.659661170695,-82.51908169421162,-107.29029424140825,False
1410.0,UAM01,BS01,60300.1075155718,-101.14639798953031,-125.91761053672694,False
1410.0,UAM01,BS02,57513.14919111697,-100.69427735341043,-125.46548990060705,False
1410.0,UAM01,BS03,57386.74360272472,-100.67325487989324,-125.44446742708986,False
1410.0,UAM01,BS04,52867.61469744338,-99.88957384250327,-124.6607863896999,False
1410.0,UAM01,BS05,43467.10588923759,-98.01893603933658,-122.7901485865332,False
1410.0,UAM01,BS06,38527.483278932785,-96.86635418059579,-121.63756672779242,False
1410.0,UAM01,BS07,34819.22313850097,-95.89941978562287,-120.6706323328195,False
1410.0,UAM01,BS08,34453.95663288546,-95.798660346911,-120.56987289410763,False
1410.0,UAM01,BS09,30808.63929656325,-94.73019547309572,-119.50140802029235,False
1410.0,UAM01,BS10,21623.204332401445,-91.34764123687553,-116.11885378407216,False
1410.0,UAM01,BS11,19356.95539292776,-90.2898151702572,-115.06102771745383,False
1410.0,UAM01,BS12,18300.89081898322,-89.75378914842702,-114.52500169562364,False
1410.0,UAM01,BS13,9391.98874331464,-83.38006648116895,-108.15127902836558,False
1410.0,UAM01,BS14,9114.734127191521,-83.09376819662447,-107.86498074382109,False
1410.0,UAM01,BS15,5724.09404640539,-78.64894881925618,-103.4201613664528,False
1410.0,UAM01,BS16,2646.0451650248306,-71.27653964908428,-96.04775219628091,True
1410.0,UAM01,BS17,8093.929603278279,-81.95890738849884,-106.73011993569547,False
1410.0,UAM01,BS18,8540.117307007205,-82.47160448304857,-107.24281703024519,False
1411.0,UAM01,BS01,60347.01525892064,-101.1538275749587,-125.92504012215532,False
1411.0,UAM01,BS02,57560.374999367836,-100.70211960909688,-125.47333215629351,False
1411.0,UAM01,BS03,57434.41671621939,-100.68118881415549,-125.45240136135212,False
1411.0,UAM01,BS04,52917.08539289756,-99.89851023378084,-124.66972278097747,False
